0,0,ExecutorRecord
1,0,
1,0,//////////////Environmental temperature and humidity/////////////////
1,1,RegisterTempAndHumidity
2,0,
2,0,//////////////Preparation of GS-GSE/////////////////
2,1,EnableNOneInterfaceXBand
2,2,EnableNTwoInterfaceXBand
3,0,
3,0,//////////////PXI Spectrum Analyzer connection/////////////////
3,1,ConnectRfCableToDwlTpPortOfCegse,CABLE=W15
3,2,ConnectCableToDcBlock
4,0,
4,0,//////////////Instrument configuration/////////////////
5,0,
5,0,//////////////EGSE Settings/////////////////
|5|1|SetCegseVariableAttenuatorTo|
6,0,
6,0,//////////////CEGSE SW Initialization/////////////////
6,1,StartCegseSW, CGF-FILE: EWC30 Nominal INIT_FILE_EWC30.ini
7,0,
7,0,//////////////DUT Power On/////////////////
7,1,VerifyDutAlarms
7,2,TakeNoteDutTemperaturesXBand
7,3,LoadOscilloscopeConfigFile, FILE=osc-config/EWC30-TX-RUN.set
7,5,TakeNoteOfCurrentAndVoltageOf, PART=TX V-EXPECTED=28 V I-EXPECTED=< 282 mA 
7,6,VerifyPowerConsumptionOf, DUT=TX POWER=P $\approx $\ 8 W@standby (CH1 x CH2)
8,0,
8,0,//////////////Verify DUT Telemetry/////////////////
8,1,VerifyRxSecondaryVoltageXBand,O_SEC_V_RF = 4.37V
8,3,VerifyRfOutputPowerTmXBand
8,4,VerifyTemperature, 25 < O_TX_TEMP1 < 40
8,5,VerifyClkLockedStatus
8,6,VerifyMmuClkStatus
9,0,
9,0,//////////////File generation for data transmission/////////////////
9,1,GenerateDownlinkFileXBand,IDLEs=1330000 ($\approx $180 seconds)/1330000 FILE=C:\Users\EGSE\ COM\Documents\ COMM-SS-FM\ SB1FS-COM-F-012\ Data-885840\protect \unhbox \voidb@x \protect \penalty \@M \hskip \z@skip \T1\textunderscore \discretionary {-}{}{}\protect \penalty \@M \hskip \z@skip 120s\protect \unhbox \voidb@x \protect \penalty \@M \hskip \z@skip \T1\textunderscore \discretionary {-}{}{}\protect \penalty \@M \hskip \z@skip VCh01\protect \unhbox \voidb@x \protect \penalty \@M \hskip \z@skip \T1\textunderscore \discretionary {-}{}{}\protect \penalty \@M \hskip \z@skip payload.bin
10,0,
10,0,//////////////RF measurements with the PXI Spectrum Analyzer and Data Downlink test/////////////////
10,1,VerifyTemperature, 25 < O_TX_TEMP1 < 40
10,5,StartIngestionInCortexHdr
10,6,VerifyRxSecondaryVoltageXBand,O_SEC_V_RF = 4.37V
10,8,VerifyClkLockedStatus
10,9,VerifyMmuClkStatus
10,10,VerifyRfOutputPowerTmXBand
10,11,TakeNoteOfCurrentAndVoltageOf, PART=TX V-EXPECTED=28\ V I-EXPECTED=$\approx $ 2.46\ A 
10,17,WaitUntilTxFinishedOnCegse
10,18,StopIngestonInCortexHdr
10,20,ChangeTxStatusTo,CMD=standby STATUS=I_OPE_2_STBY_R 
11,0,
11,0,//////////////Verify received data/////////////////
11,1,VerifyNumberOfIdlesFramesReceivedInCortexHdr
|11|2|VerifyNumberOfFramesReceivedVCOneInCortexHdr|
11,4,WaitForDataFlowExecution
11,5,LoginToCCM
11,6,GoToProductsOnCCM
11,7,FindXBandProductOnCCM
|11|8|DownloadIdentifiedProductFromCCM|
11,9,RemoveTransportLayer
11,10,CompareDownlinkPayloadFiles
12,0,
12,0,//////////////DUT Turn Off/////////////////
13,0,
13,0,//////////////CEGSE SW Shutdown/////////////////
13,1,StopCegseSW
14,0,
14,0,//////////////Collect Evidences/////////////////
14,1,CopyCegseLogsForEvicences, FROM: C:/Users/EGSE COM/Desktop/LOGs/<session_ID>/{SB1FS-COM-F-012}-03 TO:C:/Users/EGSE COM/Documents/COMM-SS-FM/<session_ID>/
14,2,CopyOscilloscopeScreenShotsForEvidences
15,0,
15,0,//////////////Final Steps/////////////////
15,1,SetReduntanSideOnXbmaDisableMandC
15,2,RegisterTempAndHumidity
15,4,DisconnectRfCableFromDwlTpOfCegse
